,ASSET,LATITUDE,LONGITUDE,TIME,SPEED,HEADING,REASONS,DISTANCE_TRAVELED,ODOMETER,LOADTS,REASONS_TEXT,ID_HAM_PVMNT_PLYGN,PPOLYLABEL,STREETFROM,STREETTO,ASSETNHOOD
66894,28,39.157711,-84.404732,07/01/2021 01:30:02 PM,4.6,E,10,0.0,50067.1,07/01/2021 01:30:05 PM,Motion Start,,,,,
66767,28,39.157971999999994,-84.404476,07/01/2021 01:30:33 PM,3.4,N,11,0.1,50067.2,07/01/2021 01:30:43 PM,Standard Event,,,,,
65719,28,39.157993,-84.40446999999999,07/01/2021 01:30:40 PM,0.0,N,9,0.1,50067.2,07/01/2021 01:30:43 PM,Motion Stop,,,,,
6849,28,39.158194,-84.404572,07/01/2021 07:53:20 AM,0.0,N,"12,9",0.0,50035.9,07/01/2021 07:53:55 AM,,,,,,
7797,28,39.158227000000004,-84.404524,07/01/2021 07:54:09 AM,0.0,N,7,0.0,50035.9,07/01/2021 07:54:12 AM,Power Off,,,,,
14497,28,39.158251,-84.404301,07/01/2021 08:27:57 AM,3.1,S,10,0.0,50035.9,07/01/2021 08:28:01 AM,Motion Start,,,,,
14913,28,39.158251,-84.404268,07/01/2021 08:28:01 AM,0.0,S,9,0.0,50035.9,07/01/2021 08:28:02 AM,Motion Stop,,,,,
13960,28,39.158213,-84.404227,07/01/2021 08:28:16 AM,3.1,S,10,0.0,50035.9,07/01/2021 08:28:19 AM,Motion Start,,,,,
14050,28,39.158194,-84.40420999999999,07/01/2021 08:28:26 AM,0.0,S,9,0.0,50035.9,07/01/2021 08:28:29 AM,Motion Stop,,,,,
14048,28,39.158115,-84.40429499999999,07/01/2021 08:28:29 AM,3.0,S,10,0.0,50035.9,07/01/2021 08:28:30 AM,Motion Start,,,,,
14652,28,39.158332,-84.403879,07/01/2021 08:28:49 AM,18.4,N,11,0.1,50035.9,07/01/2021 08:29:16 AM,Standard Event,S-HAM33975,RED BANK RD,HETZEL ST,MEDPACE WY,MADISONVILLE
14249,28,39.159521999999996,-84.403757,07/01/2021 08:29:08 AM,9.9,N,11,0.1,50036.0,07/01/2021 08:29:16 AM,Standard Event,S-HAM33975,RED BANK RD,HETZEL ST,MEDPACE WY,MADISONVILLE
15513,28,39.159652,-84.403722,07/01/2021 08:29:13 AM,0.0,N,9,0.1,50036.0,07/01/2021 08:29:16 AM,Motion Stop,I-GJ24323771,MEDPACE WY & RED BANK RD,,,MADISONVILLE
15280,28,39.159659000000005,-84.40371800000001,07/01/2021 08:29:17 AM,4.9,N,10,0.1,50036.0,07/01/2021 08:29:18 AM,Motion Start,I-GJ24323771,MEDPACE WY & RED BANK RD,,,MADISONVILLE
13668,28,39.159958,-84.40436899999999,07/01/2021 08:29:35 AM,0.0,NW,9,0.2,50036.0,07/01/2021 08:29:38 AM,Motion Stop,S-HAM55428,RED BANK RD,MEDPACE WY,RED BANK EXWY,MADISONVILLE
15500,28,39.159959,-84.40437299999999,07/01/2021 08:30:07 AM,4.8,NW,10,0.2,50036.0,07/01/2021 08:30:12 AM,Motion Start,S-HAM55428,RED BANK RD,MEDPACE WY,RED BANK EXWY,MADISONVILLE
15896,28,39.160882,-84.403853,07/01/2021 08:30:25 AM,7.7,NNE,11,0.2,50036.1,07/01/2021 08:30:32 AM,Standard Event,S-HAM61620,RED BANK EXWY,RED BANK EXWY,RED BANK EXWY,MADISONVILLE
14043,28,39.160939,-84.403819,07/01/2021 08:30:29 AM,0.0,NNE,9,0.2,50036.1,07/01/2021 08:30:32 AM,Motion Stop,S-HAM61620,RED BANK EXWY,RED BANK EXWY,RED BANK EXWY,MADISONVILLE
13955,28,39.160942999999996,-84.403817,07/01/2021 08:31:44 AM,6.2,NNE,10,0.0,50036.1,07/01/2021 08:31:48 AM,Motion Start,S-HAM61620,RED BANK EXWY,RED BANK EXWY,RED BANK EXWY,MADISONVILLE
14344,28,39.161484,-84.404394,07/01/2021 08:32:02 AM,23.7,W,11,0.1,50036.2,07/01/2021 08:32:33 AM,Standard Event,S-HAM55469,MADISON RD,INSPIRATION WY,RED BANK EXWY,MADISONVILLE
14126,28,39.161705,-84.40701,07/01/2021 08:32:22 AM,16.9,W,11,0.2,50036.3,07/01/2021 08:32:33 AM,Standard Event,S-HAM50521,MADISON RD,BABSON PL,INSPIRATION WY,MADISONVILLE
14232,28,39.161739000000004,-84.407329,07/01/2021 08:32:30 AM,0.0,W,9,0.2,50036.4,07/01/2021 08:32:33 AM,Motion Stop,S-HAM50521,MADISON RD,BABSON PL,INSPIRATION WY,MADISONVILLE
14208,28,39.161741,-84.40734,07/01/2021 08:32:35 AM,6.0,W,10,0.2,50036.4,07/01/2021 08:33:07 AM,Motion Start,S-HAM50521,MADISON RD,BABSON PL,INSPIRATION WY,MADISONVILLE
15737,28,39.161933000000005,-84.410557,07/01/2021 08:33:03 AM,27.9,W,11,0.4,50036.5,07/01/2021 08:34:39 AM,Standard Event,I-GJ23733792,MADISON RD & E EASTWOOD CIR & CHARLEMAR DR,,,MADISONVILLE
14927,28,39.162019,-84.412993,07/01/2021 08:33:21 AM,25.5,SWW,11,0.6,50036.7,07/01/2021 08:34:39 AM,Standard Event,I-GJ23533794,MADISON RD & OAKLAWN DR,,,MADISONVILLE
13966,28,39.160936,-84.415639,07/01/2021 08:33:39 AM,34.7,SWW,11,0.7,50036.8,07/01/2021 08:34:39 AM,Standard Event,S-HAM07538,MADISON RD,STEELE PL,OAKLAWN DR,MADISONVILLE
13451,28,39.160016999999996,-84.418031,07/01/2021 08:33:59 AM,22.6,SWW,11,0.9,50037.0,07/01/2021 08:34:39 AM,Standard Event,S-HAM26449,MADISON RD,IBSEN AV,STEELE PL,OAKLEY
14706,28,39.159006,-84.420653,07/01/2021 08:34:26 AM,16.2,SWW,11,1.0,50037.1,07/01/2021 08:34:39 AM,Standard Event,S-HAM26450,MADISON RD,RIDGE AV,IBSEN AV,OAKLEY
15325,28,39.158851,-84.421083,07/01/2021 08:34:36 AM,0.0,NWW,9,1.1,50037.2,07/01/2021 08:34:39 AM,Motion Stop,I-GJ22813753,MADISON RD & RIDGE AV,,,OAKLEY
14756,28,39.158857,-84.42110100000001,07/01/2021 08:35:02 AM,4.9,NWW,10,1.1,50037.2,07/01/2021 08:35:05 AM,Motion Start,I-GJ22813753,MADISON RD & RIDGE AV,,,OAKLEY
15148,28,39.159442,-84.420734,07/01/2021 08:35:28 AM,3.5,SEE,11,1.1,50037.2,07/01/2021 08:35:33 AM,Standard Event,,,,,
15779,28,39.159431,-84.420711,07/01/2021 08:35:29 AM,0.0,SEE,9,1.1,50037.2,07/01/2021 08:35:33 AM,Motion Stop,,,,,
